i0,i1,sign,n_arcs,is_compound,C_m,L_m,S,A_bend_m,A_bend_star,apex_idx,A_up_m,A_down_m,AR,openness,baseline_m,cluster
3921,3987,-1,3,0,1576.2343262506097,2260.682814748127,1.4342301630529872,289.2646887863984,7.231617219659959,3975,286.31239295448216,284.796608054135,1.005322341830908,70.63247557735248,1576.2343262506097,0
3957,4023,1,3,0,1182.779316044054,2182.6571235035785,1.8453629463218333,341.8135281169416,8.54533820292354,3996,338.37156825982026,337.98583424130607,1.0011412727381903,82.93157522727277,1182.779316044054,1
3969,4029,-1,3,0,955.9418683001672,2034.7710974590905,2.128551081330156,522.3116567356163,13.057791418390408,4013,519.3969022246783,517.7004345153612,1.0032769292745627,117.97534959067988,955.9418683001672,1
3992,4081,1,3,0,2116.463641305565,3080.394746616251,1.4554442072607845,528.2289528050741,13.205723820126853,4015,525.691984927435,522.6970258947745,1.0057298183924686,104.94978636167424,2116.463641305565,0
4023,4106,-1,3,0,1936.4021684543648,2825.4085035602725,1.459102117105927,292.80577090144544,7.320144272536136,4091,291.15647654872635,291.93223563045257,0.9973426741310328,95.92739328997766,1936.4021684543648,0
4048,4109,1,3,0,1137.729219650441,1994.9600700103997,1.7534577081735985,387.1334299951312,9.67833574987828,4092,385.0161309183035,386.4071592711636,0.9964000968421914,112.01204918648558,1137.729219650441,1
4106,4174,1,5,1,2054.8994088493337,2527.974577370054,1.230218163713242,236.10478604187213,5.902619651046804,4165,234.01438401700983,232.5157193900095,1.0064454335858752,66.00784682050207,2054.8994088493337,0
4124,4178,-1,5,1,1442.1138788729825,1917.915436981939,1.3299334158553393,331.4200626994405,8.285501567486012,4165,327.1549034437746,328.27952727558386,0.996574188341434,110.28736513626552,1442.1138788729825,0
4160,4204,1,3,0,583.686649127735,1352.6432972958642,2.317413460316872,272.80508739914313,6.8201271849785785,4194,267.13856846122513,270.8178450572574,0.9864142017847666,102.71348767491078,583.686649127735,1
4174,4206,-1,3,0,407.27887189671407,973.4150755369026,2.3900455994775016,318.0965272975598,7.952413182438995,4194,312.9275470084108,315.5310537224908,0.9917488098766664,117.29308910128344,407.27887189671407,1
4188,4264,1,3,0,1654.6919859866375,2452.410172598657,1.4820946698042825,318.7276149245243,7.968190373113107,4210,315.3314820973454,318.6624578159824,0.9895470092665872,110.40350924638518,1654.6919859866375,0
4204,4269,-1,3,0,1681.0619159042892,2166.155656780946,1.2885638751834505,462.5839039145672,11.56459759786418,4252,457.7814842542081,462.53040090534665,0.98973274698951,119.2994464986221,1681.0619159042892,0
4247,4291,1,3,0,1178.5363685816674,1658.001104129988,1.406830665841345,394.1344660666523,9.853361651666308,4276,388.6692573503008,393.2222009261885,0.9884214483181168,118.00915557911424,1178.5363685816674,0
4264,4308,-1,3,0,1099.6250470164632,1598.258309732737,1.453457534519772,444.22740342088514,11.10568508552213,4279,440.6588194079308,443.3860210557459,0.9938491483305644,104.3845377576105,1099.6250470164632,0
4288,4321,1,3,0,856.2176029445884,1104.797641396105,1.2903234383369762,210.42463139145448,5.260615784786362,4313,206.3572221048294,205.1827029360447,1.005724260144632,116.55328601981556,856.2176029445884,0
4308,4356,1,3,0,1004.039271687447,1706.355851133908,1.699491144670175,460.2266173620346,11.505665434050863,4340,453.61447539425535,459.36859713931193,0.9874738460989932,97.85847332361524,1004.039271687447,1
